ID,店名,料理標籤,星級評分,營業時間,店家電話,地址,Google Map 網址,特約優惠,關鍵詞,介紹,座標,
202,So Big鬆餅-中原大學人氣鬆餅|必吃甜品|必吃鬆餅|人氣甜點|熱門甜品|熱門鬆餅|輕食點心|在地推薦鬆餅,甜品,5,10:00-19:00(假日公休),0989-108-080,中北路360號,https://maps.app.goo.gl/jKxLnhSWzzUUF4eg6,非特約商店,鬆餅、飲品、甜點、下午茶,這家高人氣點心店主打口味多元且現點現烤的精緻鬆餅。鬆餅外皮烤得金黃酥脆，內裡卻依舊保持蓬鬆軟綿，伴隨濃郁奶香與爆量甜鹹配料，入口層次豐富、甜而不膩。網評大讚其真材實料、高性價比,"24.959541542300926, 121.24025589182737",
203,米可立飯糰,早午餐,4.3,06:30-13:30(週日公休),03-438-1480,新中北路260號,"https://www.google.com/maps/place/%E7%B1%B3%E5%8F%AF%E7%AB%8B%E9%A3%AF%E7%B3%B0/@24.9591103,121.2401442,17z/data=!3m1!4b1!4m6!3m5!1s0x34682216040b92e7:0x17aa8b7b2404453e!8m2!3d24.9591103!4d121.2401442!16s%2Fg%2F11c1y6k3gv?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,飯糰、漢堡、吐司、蛋餅、早餐店、早餐,主打大份量、現點現包且用料毫不手軟的特色飯糰專賣店。熱騰騰的飯糰咬下扎實，配料與特製辣醬完美融合，濕潤不乾柴、香氣四溢且非常過癮，飽足感爆棚。常客紛紛推薦其出餐迅速、高 CP 值,"24.959319427331266, 121.24007982698595",
204,+82釜山力行宿舍斜對麵,韓式,3.3,16:30-00:30(假日公休),無,新中北路254號,"https://www.google.com/maps/place/%2B82%E9%87%9C%E5%B1%B1%E5%8A%9B%E8%A1%8C%E5%AE%BF%E8%88%8D%E6%96%9C%E5%B0%8D%E9%BA%B5/@24.9591724,121.240063,17z/data=!3m1!4b1!4m6!3m5!1s0x34682327860bbc4b:0xb1d5c1cfaf054bc2!8m2!3d24.9591724!4d121.240063!16s%2Fg%2F11w805zc0c?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,牛肉麵、麵、飯、炒飯、晚餐、宵夜,這家隱藏在宿舍斜對面的特色韓式料理，主打平價且道地的釜山風味。招牌麵食麵條 Q 彈有嚼勁，裹滿甜鹹交織的獨門醬汁，入口濕潤濃郁、層次感十足，極其開胃。網評大讚其價格親民、用料實在,"24.95939125406483, 121.24000935582158",
205,查理國王中原新中北店,手搖飲,4.7,11:00-00:00,03-466-3235,新中北路235號,"https://www.google.com/maps/place/%E6%9F%A5%E7%90%86%E5%9C%8B%E7%8E%8B%E4%B8%AD%E5%8E%9F%E6%96%B0%E4%B8%AD%E5%8C%97%E5%BA%97/@24.9592002,121.2397203,17z/data=!3m1!4b1!4m6!3m5!1s0x346823fc09f8901f:0x11715f42ecf9f73f!8m2!3d24.9592002!4d121.2397203!16s%2Fg%2F11scv57d45?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,手搖飲、飲料,主打品項多元、兼具拍照美感與解渴實力的人氣連鎖飲品店。店內鮮果茶與醇奶茶比例調配得恰到好處，大口喝下濕潤生津、清爽過癮，能感受到滿滿果香。許多常客強力推薦其品質穩定、出餐迅速,"24.959438507686848, 121.23967738465728",
206,清心福全中壢新中北店-珍珠奶茶手搖飲料專賣店,手搖飲,3.3,11:00-22:50,03-456-8738,新中北路234號,"https://www.google.com/maps/place/%E6%B8%85%E5%BF%83%E7%A6%8F%E5%85%A8%E4%B8%AD%E5%A3%A2%E6%96%B0%E4%B8%AD%E5%8C%97%E5%BA%97-%E7%8F%8D%E7%8F%A0%E5%A5%B6%E8%8C%B6%E6%89%8B%E6%90%96%E9%A3%B2%E6%96%99%E5%B0%88%E8%B3%A3%E5%BA%97/@24.9589984,121.2396151,17z/data=!3m1!4b1!4m6!3m5!1s0x34682215781db245:0xc5284ffe63e95a9f!8m2!3d24.9589984!4d121.2396151!16s%2Fg%2F1hc5l875y?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,手搖飲、飲料,這家國民手搖品牌主打品質穩定的現調經典飲品。招牌珍珠奶茶茶韻醇厚、奶香濃郁，搭配每日現煮的 Q 彈珍珠，入口滑順、甜而不膩且越嚼越香。網評大讚其價格親民、出餐神速，是新中北路上不容錯過的日常消暑首選。,"24.959188073813415, 121.23961509999998",
207,超牛牛排-中壢本店,牛排,3.9,"11:00-14:30, 17:00-22:00",03-438-0143,新中北路233號,"https://www.google.com/maps/place/%E8%B6%85%E7%89%9B%E7%89%9B%E6%8E%92-%E4%B8%AD%E5%A3%A2%E6%9C%AC%E5%BA%97/@24.9591331,121.2395588,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223dfe53bb39:0xd76c94fe4a80f5cb!8m2!3d24.9591331!4d121.2395588!16s%2Fg%2F1hhgkv145?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,鐵板麵、牛排、午餐、晚餐,主打大份量、深受學生喜愛的人氣牛排館。現煎排餐外層微焦、內裡保持扎實不乾柴，大口咬下濕潤多汁，搭配無限供應的濃湯與飲品，飽足感爆棚。許多常客強力推薦其出餐迅速、老闆熱情,"24.959371407816732, 121.23952661349296",
208,潮麻吉-中壢新中北店,炸物,4.8,16:30-01:30,0965-474-520,新中北路232號,"https://www.google.com/maps/place/%E6%BD%AE%E9%BA%BB%E5%90%89-%E4%B8%AD%E5%A3%A2%E6%96%B0%E4%B8%AD%E5%8C%97%E5%BA%97/@24.9589569,121.2395556,17z/data=!3m1!4b1!4m6!3m5!1s0x34682392a123eeb1:0x62d83f453981878!8m2!3d24.9589569!4d121.2395556!16s%2Fg%2F11ykd917n2?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,雞排、鹽酥雞、炸物、晚餐、宵夜,這家超人氣炸物店主打口味多元、厚實飽滿的創意脆皮雞排。剛出爐的雞排外皮卡滋酥脆，內裡肉質鮮嫩多汁、鹹香入味，搭配獨門灑粉更是層次豐富、香氣四溢。網評大讚其真材實料、現點現炸,"24.95916602759188, 121.23950195582162",
209,泗元碳烤-中原碳烤,台式炭烤,3.5,17:00-01:30，週一17:00-00:00,0916-395-661,新中北路225號,"https://www.google.com/maps/place/%E6%B3%97%E5%85%83%E7%A2%B3%E7%83%A4-%E4%B8%AD%E5%8E%9F%E7%A2%B3%E7%83%A4/@24.9590691,121.239391,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223dfdd6ce23:0x45b8721b204e3d31!8m2!3d24.9590691!4d121.239391!16s%2Fg%2F11ggvwkd32?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,碳烤、烤物、晚餐、宵夜,主打純炭火現烤、充滿夜市熱鬧氛圍的在地知名老字號碳烤攤。招牌食材外皮烤得微微酥脆，內裡保持扎實不乾柴，大口咬下醬香四溢、非常過癮，讓人一串接一串。許多常客強力推薦其出餐迅速、高性價比,"24.95928795424849, 121.239391",
210,斗六門當歸鴨,台式,3.5,11:00-23:45,0976-521-648,新中北路226號,"https://www.google.com/maps/place/%E6%96%97%E5%85%AD%E9%96%80%E7%95%B6%E6%AD%B8%E9%B4%A8/@24.9589074,121.2394444,17z/data=!3m1!4b1!4m6!3m5!1s0x346823000d050a55:0xa2b39a97ee690cb2!8m2!3d24.9589074!4d121.2394444!16s%2Fg%2F11y42ldfn4?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,當歸鴨、鴨肉、麵、飯、午餐、晚餐,這家經典台式小吃主打甘甜溫潤的當歸湯頭與各式平價鴨肉料理。招牌鴨肉片肉質鮮嫩多汁、毫不乾柴，搭配吸飽湯汁的 Q 彈紅麵線，入口藥香濃郁、層次感十足。網評大讚其真材實料、高 CP 值,"24.95909707395364, 121.23942294232864",
211,大中原滷味-新中北店,台式、小吃,4,11:00-23:00(價日公休),03-283-0808,新中北路229號,"https://www.google.com/maps/place/%E5%A4%A7%E4%B8%AD%E5%8E%9F%E6%BB%B7%E5%91%B3-%E6%96%B0%E4%B8%AD%E5%8C%97%E5%BA%97/@24.9590846,121.2394528,17z/data=!3m1!4b1!4m6!3m5!1s0x346818a778fb9667:0x52b3b2b5f05c2808!8m2!3d24.9590846!4d121.2394528!16s%2Fg%2F11f3911bg6?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,滷味、午餐、晚餐,這家在地知名老字號主打獨門中藥秘製滷汁與琳瑯滿目的豐富食材。食材經大火現滷後完美入味，入口 Q 彈多汁、鹹香帶點微甜，層次感十足且極其開胃。網評大讚其真材實料、高 CP 值,"24.95929372737495, 121.23943134232866",
212,阿甘米干,中式,3.8,"12:00-14:00, 17:00-20:00",03-437-5509,新中北路219號,"https://www.google.com/maps/place/%E9%98%BF%E7%94%98%E7%B1%B3%E5%B9%B2/@24.9589728,121.239195,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223dfd111e85:0x7522ce2ef23a8ac!8m2!3d24.9589728!4d121.239195!16s%2Fg%2F12hphv51c?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,米甘、米線、炒飯、湯、午餐、晚餐,這家在地人氣小吃主打道地的雲南眷村風味與現熬湯頭。招牌米干質地 Q 彈有嚼勁，搭配鮮嫩豬肉、滑嫩蛋包與吸飽湯汁的肉燥，入口溫潤純厚、層次豐富。網評大讚其真材實料、份量誠意十足,"24.959181927564874, 121.239195",
213,老裴早午餐 TẠP HÓA VIỆT NAM,早午餐,5,06:30-21:00,03-455-0128,新中北路406號,"https://www.google.com/maps/place/%E8%80%81%E8%A3%B4%E6%97%A9%E5%8D%88%E9%A4%90+T%E1%BA%A0P+H%C3%93A+VI%E1%BB%86T+NAM/@24.9586847,121.2436476,17z/data=!3m1!4b1!4m6!3m5!1s0x3468197b35d99f4d:0x1d21a9839a661a3d!8m2!3d24.9586847!4d121.2436476!16s%2Fg%2F11nb6yn8gw?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",非特約商店,漢堡、吐司、蛋餅、河粉、越式、早餐店、早餐、午餐、晚餐,這家特色早午餐主打道地越式風味與異國雜貨複合式經營。招牌法國麵包外皮酥脆、內裡蓬鬆軟綿，夾入扎實肉片與酸甜醃菜，入口層次豐富、清爽不油膩。網評大讚其風味正宗、價格親民,"24.95885492053621, 121.2436905153427",
214,八鍋燒,火鍋,4.9,11:00-00:00(週一公休),03-466-3238,新中北路216號,"https://www.google.com/maps/place/%E5%85%AB%E9%8D%8B%E7%87%92/@24.958836,121.239206,17z/data=!3m1!4b1!4m6!3m5!1s0x3468233d26f16603:0x65db0f0eb200623f!8m2!3d24.958836!4d121.239206!16s%2Fg%2F11sb5vgg31?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,火鍋、午餐、晚餐,主打大份量、附設自助吧且極具性價比的連鎖小火鍋店。現點現煮的鍋物熱氣騰騰、香氣四溢，配料扎實入味，大口吃下濕潤過癮、暖心又暖胃，整體飽足感爆棚。常客紛紛激推其出餐迅速、環境舒適，是小資族與肉控聚餐的完美口袋名單。,"24.959006220327012, 121.23924891534271",
215,大和鐵板炒,台式,4,"11:00-14:00, 17:00-21:00",03-438-0782,新中北路214號,"https://www.google.com/maps/place/%E5%A4%A7%E5%92%8C%E9%90%B5%E6%9D%BF%E7%82%92/@24.9587785,121.2391621,17z/data=!3m1!4b1!4m6!3m5!1s0x3468237a88c1ba93:0xe96cf0d6be3d9ae7!8m2!3d24.9587785!4d121.2391621!16s%2Fg%2F11fmgm7908?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,鐵板燒、午餐、晚餐,這家平價小吃主打高溫鐵板現炒與大份量飽足感。師傅以純熟火候現炒的肉片肉質鮮嫩多汁，搭配清脆高麗菜，入口爆炒香氣四溢、鹹香夠味且層次感十足，極其下飯。,"24.95895844727978, 121.23916210000002",
216,麻豆子健康湯鍋-中原店,火鍋,4.9,11:00-00:00,03-465-0013,新中北路210號,"https://www.google.com/maps/place/%E9%BA%BB%E8%B1%86%E5%AD%90%E5%81%A5%E5%BA%B7%E6%B9%AF%E9%8D%8B-%E4%B8%AD%E5%8E%9F%E5%BA%97/@24.9587502,121.2391186,17z/data=!3m1!4b1!4m6!3m5!1s0x3468230ffc885479:0x9703a95019530b84!8m2!3d24.9587502!4d121.2391186!16s%2Fg%2F11z35724z5?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,火鍋、午餐、晚餐,主打大份量、深受學生與家庭喜愛的連鎖平價小火鍋店。現點現煮的熱騰騰鍋物香氣四溢，配料吸飽靈魂湯汁，大口吃下濕潤過癮、扎實有飽足感，性價比極高。常客紛紛激推其出餐迅速、白飯飲料無限供應,"24.958939874195867, 121.23908641349297",
217,夢想起飛早午餐宵夜,早餐、宵夜,3.8,22:30-06:00，週五10:30-04:00(週六公休),03-416-3203,新中北路207號,"https://www.google.com/maps/place/%E5%A4%A2%E6%83%B3%E8%B5%B7%E9%A3%9B%E6%97%A9%E5%8D%88%E9%A4%90%E5%AE%B5%E5%A4%9C/@24.9588279,121.2389048,17z/data=!3m2!4b1!5s0x3468223e08e468ad:0xbbf2461c7e2f9dd2!4m6!3m5!1s0x346823231bb1a9f9:0xb52234f0749bb926!8m2!3d24.9588279!4d121.2389048!16s%2Fg%2F11rj600808?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,炒泡麵、漢堡、吐司、蛋餅、宵夜、早餐,這家特色餐廳主打從早晨到深夜的跨時段複合式早午餐與宵夜。招牌現烤吐司與蛋餅外皮酥脆、內裡軟綿，搭配厚實肉排與濃郁起司，入口鹹香有層次、非常開胃。網評大讚其品項多元、高 CP 值,"24.958998120338205, 121.23970946267569",
218,丫爸的滷味-中壢人氣滷味|熱門滷味|特色滷味|銅板小吃|外帶美食|必吃滷味|在地推薦滷味|宵夜推薦,台式、小吃,4.1,13:30-20:30，假日13:30-18:00(週日公休),0938-061-500,新中北路165巷內,"https://www.google.com/maps/place/%E4%B8%AB%E7%88%B8%E7%9A%84%E6%BB%B7%E5%91%B3-%E4%B8%AD%E5%A3%A2%E4%BA%BA%E6%B0%A3%E6%BB%B7%E5%91%B3%7C%E7%86%B1%E9%96%80%E6%BB%B7%E5%91%B3%7C%E7%89%B9%E8%89%B2%E6%BB%B7%E5%91%B3%7C%E9%8A%85%E6%9D%BF%E5%B0%8F%E5%90%83%7C%E5%A4%96%E5%B8%B6%E7%BE%8E%E9%A3%9F%7C%E5%BF%85%E5%90%83%E6%BB%B7%E5%91%B3%7C%E5%9C%A8%E5%9C%B0%E6%8E%A8%E8%96%A6%E6%BB%B7%E5%91%B3%7C%E5%AE%B5%E5%A4%9C%E6%8E%A8%E8%96%A6/@24.9587094,121.238704,17z/data=!3m1!4b1!4m6!3m5!1s0x346823d207c27813:0x7531fca054371515!8m2!3d24.9587094!4d121.238704!16s%2Fg%2F11vk2r5jy_?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,滷味、小菜,主打品項豐富、極具性價比的在地推薦特色滷味店。招牌配料吸飽靈魂醬汁，質地扎實卻濕潤不乾柴，大口咬下滿滿滷汁香氣在嘴裡蔓延，搭配特製辣椒更是一絕。許多常客強力推薦其出餐迅速、份量誠意十足,"24.95890880113591, 121.23924044178382",
219,平價水餃麵食館,中式,3.6,10:30-13:00,03-466-1418,新中北路193號,"https://www.google.com/maps/place/%E5%B9%B3%E5%83%B9%E6%B0%B4%E9%A4%83%E9%BA%B5%E9%A3%9F%E9%A4%A8/@24.9587119,121.2386452,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223e0c20d0a7:0x8f67705786386b61!8m2!3d24.9587119!4d121.2386452!16s%2Fg%2F11bzpf6k4m?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,乾麵、水餃、飯、湯麵、煎餃、蛋餅、湯、午餐,這家在地小吃主打每日現包的平價手工水餃與各式現煮麵食。水餃皮薄 Q 彈，內餡扎實飽滿且大口咬下爆漿多汁，搭配鹹香濃郁的家常乾麵，入口層次豐富、非常過癮。網評大讚其價格親民、用料實在,"24.9588821204986, 121.2386452",
220,悦之香客家麵飯館,台式,4.6,11:00-13:00,03-436-6905,新中北路196號,https://maps.app.goo.gl/8e9T2LEFJzvaZ2Py5,非特約商店,麵、牛肉麵、湯麵、客家湯圓、飯、湯、小菜、午餐,主打品項多元、充滿溫暖家常味的人氣客家餐館。店內各式飯麵與黑白切滷味現點現做，配料質地扎實卻濕潤不乾柴，大口吃下鹹香夠味、非常過癮，飽足感爆棚。常客強力推薦其出餐迅速、價格親民,"24.958694828392364, 121.23867335767135",
221,888大水餃,中式,3.9,10:00-14:00,03-416-2267,新中北路192號,"https://www.google.com/maps/place/888%E5%A4%A7%E6%B0%B4%E9%A4%83/@24.9584296,121.238546,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223e1177940b:0xa7dc841b4ad61c5!8m2!3d24.9584296!4d121.238546!16s%2Fg%2F1pzrscwlv?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,水餃、乾麵、湯、小菜、午餐,這家在地人氣小吃主打每日現包、個頭碩大的手工大水餃。水餃皮 Q 彈有勁，內餡扎實飽滿、大口咬下爆漿多汁，蔬菜與鮮肉交織出清甜鹹香的絕佳層次。網評大讚其真材實料、高 CP 值,"24.958619274689838, 121.2385030846573",
222,286水餃中原店,中式,4.6,24小時營業,0938-999-286,新中北路190號,"https://www.google.com/maps/place/286%E6%B0%B4%E9%A4%83%E4%B8%AD%E5%8E%9F%E5%BA%97/@24.9583309,121.2382829,17z/data=!3m1!4b1!4m6!3m5!1s0x346823007d596e65:0xbb6e9c05bb63c374!8m2!3d24.9583309!4d121.2382829!16s%2Fg%2F11x6mclm41?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,水餃、湯、麵、飯、24小時、早餐、午餐、晚餐、宵夜,這家在地知名老字號主打超高 CP 值、深受學生喜愛的平價手工水餃。水餃皮 Q 彈薄透，內餡扎實且大口咬下爆漿多汁，搭配特製醬汁鹹香夠味、層次感十足。網評大讚其便宜大碗、真材實料,"24.958481667205866, 121.23826144232865",
223,吾芳素食,素食,4.4,"週二、三、四17:00-22:00，週五12:00-14:00, 17:00-22:00，假日11:30-14:00, 17:00-22:00(週一公休)",0988-947-869,新中北路124號,"https://www.google.com/maps/place/%E5%90%BE%E8%8A%B3%E7%B4%A0%E9%A3%9F/@24.9578211,121.2375225,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223e5cc21d27:0xdb316d602a6084ff!8m2!3d24.9578211!4d121.2375225!16s%2Fg%2F11cn9ljp2k?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,素食、滷味、麵、午餐、晚餐,主打品項多元、充滿家常溫度且極具性價比的人氣素食餐館。現點現做的麵食與飯點熱氣騰騰、香氣四溢，配料扎實入味卻濕潤不乾柴，大口吃下暖心又暖胃，整體飽足感爆棚。許多常客強力推薦其環境乾淨、出餐迅速,"24.958020502574772, 121.23750104232863",
224,肉麻訣 -中壢中原店,中式,4.9,"週六11:00-14:00, 17:00-20:00，其他11:00-14:00, 17:00-20:30",0909-135-113,實踐路250號,"https://www.google.com/maps/place/%E8%82%89%E9%BA%BB%E8%A8%A3+-%E4%B8%AD%E5%A3%A2%E4%B8%AD%E5%8E%9F%E5%BA%97/@24.9577415,121.2393388,17z/data=!3m1!4b1!4m6!3m5!1s0x3468233ef1872d83:0xf15a711eecdfaf52!8m2!3d24.9577415!4d121.2393388!16s%2Fg%2F11nxvr4c89?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",非特約商店,湯、麵、飯、午餐、晚餐,打品項多元、香氣四溢且充滿現代氛圍的人氣麻辣燙與個人鍋物店。現點現煮的肉片與配料質地扎實卻濕潤不乾柴，大口咬下滿滿椒麻香在嘴裡蔓延，非常過癮。許多常客強力推薦其出餐神速、環境乾淨,"24.957921448795602, 121.23934952883566",
225,國王漢堡,早午餐,4.8,平日07:30-12:45，假日08:30-13:00,無,新中北路45號,"https://www.google.com/maps/place/%E5%9C%8B%E7%8E%8B%E6%BC%A2%E5%A0%A1/@24.95693,121.2358345,17z/data=!3m1!4b1!4m6!3m5!1s0x346823f072d5becd:0x8f7188a1040b3621!8m2!3d24.95693!4d121.2358345!16s%2Fg%2F11nx2h_r94?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,漢堡、吐司、蛋餅、早餐店、早餐,主打大份量、深受學生與小資族喜愛的平價美式漢堡店。熱騰騰的現做漢堡麵包鬆軟、配料濕潤不乾柴，獨門醬汁完美入味，大口吃下香氣四溢、整體飽足感爆棚，讓人回味無窮。許多常客強力推薦其出餐迅速、高 CP 值,"24.95710022296244, 121.23615636507029",
226,碳老爺,台式碳烤,4.9,18:30-04:30,0970-408-800,新中北路42號,"https://www.google.com/maps/place/%E7%A2%B3%E8%80%81%E7%88%BA%EF%BC%88%E9%81%8E%E5%B9%B4%E6%9C%9F%E9%96%93%E6%AD%A3%E5%B8%B8%E7%87%9F%E6%A5%AD%EF%BC%89/@24.9567217,121.2360264,17z/data=!3m1!4b1!4m6!3m5!1s0x3468233304b79b0f:0xd994a8511bd19562!8m2!3d24.9567217!4d121.2360264!16s%2Fg%2F11fky_4qtd?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,碳烤、烤物、晚餐、宵夜,主打品項多元、熱氣騰騰且充滿誘人火候香氣的人氣碳烤店。各式配料質地扎實卻濕潤不乾柴，刷上特製獨門醬汁完美入味，整體口味鹹甜適中、非常過癮，飽足感爆棚。許多常客強力推薦其出餐迅速、高性價比,"24.956930831388924, 121.23627316322052",
227,微風岸咖啡工坊,咖啡廳,5,13:30-18:00(週一、二公休),0953-359-656,新中北路31號,"https://www.google.com/maps/place/%E5%BE%AE%E9%A2%A8%E5%B2%B8%E5%92%96%E5%95%A1%E5%B7%A5%E5%9D%8A/@24.9567292,121.23575,17z/data=!3m1!4b1!4m6!3m5!1s0x3468232465d47005:0x7a70bc1a31e2d59b!8m2!3d24.9567292!4d121.23575!16s%2Fg%2F11j0yj2k1x?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,咖啡、飲品、甜品、下午茶,主打品項多元、兼具咖啡與輕食且深受學生喜愛的質感空間。店內現調飲品與熱騰騰點心質地扎實卻濕潤不乾柴，大口咬下香氣四溢、極具滿足感，提供放鬆的感官享受。許多常客強力推薦其出餐迅速、老闆親切,"24.956899423240078, 121.23576072883567",
228,Q仔姜家古早味麵店,中式,4.3,"06:00-14:00, 16:00-19:00(假日公休)",0985-300-085,新中北路7號,"https://www.google.com/maps/place/Q%E4%BB%94%E5%A7%9C%E5%AE%B6%E5%8F%A4%E6%97%A9%E5%91%B3%E9%BA%B5%E5%BA%97/@24.9563592,121.2352132,17z/data=!3m2!4b1!5s0x3468223f3c15f305:0x50097119c11858f7!4m6!3m5!1s0x346823d9b6b4c77b:0xe4f9ab253ef3889f!8m2!3d24.9563592!4d121.2352132!16s%2Fg%2F11qq6qwnnf?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,飯、麵、湯、小菜、早餐、午餐、晚餐,主打品項多元、充滿溫暖家常溫度的人氣古早味餐館。現點現煮的各式熱騰騰麵食與黑白切滷味，質地扎實卻濕潤不乾柴，大口吃下鹹香夠味、非常過癮，整體飽足感爆棚。許多常客強力推薦其出餐迅速、價格親民,"24.95651969668648, 121.23522392883567",
229,9號刈包,小吃,4.5,06:00-19:00(假日公休),0928-305-119,新中北路9號,"https://www.google.com/maps/place/9%E8%99%9F%E5%88%88%E5%8C%85/@24.9563762,121.2352555,17z/data=!3m1!4b1!4m6!3m5!1s0x3468230013022da7:0xc4917ea303792758!8m2!3d24.9563762!4d121.2352555!16s%2Fg%2F11v_12w2qs?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,刈包、四神湯、早餐、午餐,這家特色小吃主打將傳統刈包完美升級的經典與創意風味。現蒸的刈包外皮 Q 彈軟綿，包入肥瘦適中、滷得軟嫩多汁的焢肉，搭配香甜花生粉與酸菜，入口鹹甜交織、層次感十足。網評大讚其真材實料、高 CP 值,"24.956526969599707, 121.23528768650705",
230,魔王厚切傳統雞排 中壢新中北店,炸物,4.7,15:00-22:00(週日公),0977-057-321,新中北路2號,"https://www.google.com/maps/place/%E9%AD%94%E7%8E%8B%E5%8E%9A%E5%88%87%E5%82%B3%E7%B5%B1%E9%9B%9E%E6%8E%92+%E4%B8%AD%E5%A3%A2%E6%96%B0%E4%B8%AD%E5%8C%97%E5%BA%97/@24.9561053,121.2353107,17z/data=!3m1!4b1!4m6!3m5!1s0x3468238af3146c1f:0xf8f1210b1b81dff8!8m2!3d24.9561053!4d121.2353107!16s%2Fg%2F11s5scwrr_?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,雞排、鹽酥雞、炸物、晚餐,主打大份量、深受學生與夜貓子喜愛的人氣厚切雞排店。現點現炸的熱騰騰雞排質地扎實卻濕潤不乾柴，撒上特製胡椒粉香氣四溢，大口咬下超級過癮，整體飽足感爆棚。許多常客強力推薦其出餐迅速、肉質厚實,"24.95625606993145, 121.23571839575568",
231,鍋神日式涮涮鍋,火鍋,3.7,10:00-02:00,03-438-3838,新中北路34巷6號,"https://www.google.com/maps/place/%E9%8D%8B%E7%A5%9E%E6%97%A5%E5%BC%8F%E6%B6%AE%E6%B6%AE%E9%8D%8B/@24.956152,121.2360044,17z/data=!3m1!4b1!4m6!3m5!1s0x346822455d8cab5b:0x73077ff509048992!8m2!3d24.956152!4d121.2360044!16s%2Fg%2F12cp6ky75?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",非特約商店,涮涮鍋、火鍋，午餐、晚餐、宵夜,主打品項多元、高性價比且深受火鍋控喜愛的人氣日式涮涮鍋。店內海鮮與肉品現點現切，質地扎實卻濕潤不乾柴，大口吃下熱氣騰騰、香氣四溢，整體飽足感爆棚，讓人回味無窮。許多常客強力推薦其環境舒適、出餐迅速,"24.95633195111892, 121.23605804417839",
